"","geneSet"
"Group_PBMCs_Sample_PBMCs 1_4271540",0.0712014960261805
"Group_PBMCs_Sample_PBMCs 1_4319724",0.0824918186068256
"Group_PBMCs_Sample_PBMCs 1_4375637",0.0315568022440393
"Group_PBMCs_Sample_PBMCs 1_4379076",0.0883356708742403
"Group_PBMCs_Sample_PBMCs 1_4390405",0.098153342683497
"Group_PBMCs_Sample_PBMCs 1_4409789",0.0803880317905563
"Group_PBMCs_Sample_PBMCs 1_4437185",0.0627629733520337
"Group_PBMCs_Sample_PBMCs 1_4457802",0.0844319775596073
"Group_PBMCs_Sample_PBMCs 1_4475222",0.10345956054231
"Group_PBMCs_Sample_PBMCs 1_4534121",0.0445769050958392
"Group_PBMCs_Sample_PBMCs 1_4543773",0.0434081346423562
"Group_PBMCs_Sample_PBMCs 1_4551871",0.132071061243572
"Group_PBMCs_Sample_PBMCs 1_4571966",0.0738662926601216
"Group_PBMCs_Sample_PBMCs 1_4586698",0.117251051893408
"Group_PBMCs_Sample_PBMCs 1_4614145",0.075479195885928
"Group_PBMCs_Sample_PBMCs 1_4615611",0.116105656848995
"Group_PBMCs_Sample_PBMCs 1_4620896",0.0331229546517064
"Group_PBMCs_Sample_PBMCs 1_4621350",0.0570359981299673
"Group_PBMCs_Sample_PBMCs 1_4628561",0.0978728377746611
"Group_PBMCs_Sample_PBMCs 1_4639221",0.1466105656849
"Group_PBMCs_Sample_PBMCs 1_4678133",0.0532024310425432
"Group_PBMCs_Sample_PBMCs 1_4681237",0.074520804114072
"Group_PBMCs_Sample_PBMCs 1_4692084",0.0325853202431043
"Group_PBMCs_Sample_PBMCs 1_4698589",0.0839644693782141
"Group_PBMCs_Sample_PBMCs 1_4699048",0.0548854604955587
"Group_PBMCs_Sample_PBMCs 1_4705053",0.0670640486208509
"Group_PBMCs_Sample_PBMCs 1_4723590",0.0946002805049088
"Group_PBMCs_Sample_PBMCs 1_4820452",0.0507713884992987
"Group_PBMCs_Sample_PBMCs 1_4832365",0.132561944834035
"Group_PBMCs_Sample_PBMCs 1_4860599",0.0170406732117812
"Group_PBMCs_Sample_PBMCs 1_4897619",0.0447171575502571
"Group_PBMCs_Sample_PBMCs 1_4904689",0.04520804114072
"Group_PBMCs_Sample_PBMCs 1_4905920",0.0880551659654044
"Group_PBMCs_Sample_PBMCs 1_4951924",0.0662926601215521
"Group_PBMCs_Sample_PBMCs 1_4959249",0.121131369798971
"Group_PBMCs_Sample_PBMCs 1_4976763",0.140042075736325
"Group_PBMCs_Sample_PBMCs 1_4989013",0.0699392239364189
"Group_PBMCs_Sample_PBMCs 1_5025289",0.11575502571295
"Group_PBMCs_Sample_PBMCs 1_5035753",0.0671107994389902
"Group_PBMCs_Sample_PBMCs 1_5064340",0.0561243571762506
"Group_PBMCs_Sample_PBMCs 1_5069698",0.0256661991584853
"Group_PBMCs_Sample_PBMCs 1_5085388",0.229008882655446
"Group_PBMCs_Sample_PBMCs 1_5101902",0.182117812061711
"Group_PBMCs_Sample_PBMCs 1_5115758",0.0661524076671342
"Group_PBMCs_Sample_PBMCs 1_5128602",0.0585320243104254
"Group_PBMCs_Sample_PBMCs 1_5142479",0.0491584852734923
"Group_PBMCs_Sample_PBMCs 1_5142513",0.0958391771856008
"Group_PBMCs_Sample_PBMCs 1_5231785",0.28085553997195
"Group_PBMCs_Sample_PBMCs 1_5236027",0.0713651238896681
"Group_PBMCs_Sample_PBMCs 1_5242181",0.0964936886395512
"Group_PBMCs_Sample_PBMCs 1_5246240",0.131065918653576
"Group_PBMCs_Sample_PBMCs 1_5272687",0.0662926601215521
"Group_PBMCs_Sample_PBMCs 1_5281623",0.0591631603553062
"Group_PBMCs_Sample_PBMCs 1_5322014",0.0691912108461898
"Group_PBMCs_Sample_PBMCs 1_5330800",0.0817438055165965
"Group_PBMCs_Sample_PBMCs 1_5331740",0.0454417952314166
"Group_PBMCs_Sample_PBMCs 1_5370777",0.051028517999065
"Group_PBMCs_Sample_PBMCs 1_5398961",0.404207573632539
"Group_PBMCs_Sample_PBMCs 1_5422887",0.0632304815334268
"Group_PBMCs_Sample_PBMCs 1_5442860",0.0640018700327256
"Group_PBMCs_Sample_PBMCs 1_5493879",0.0741000467508181
"Group_PBMCs_Sample_PBMCs 1_5496868",0.038288920056101
"Group_PBMCs_Sample_PBMCs 1_5508394",0.082258064516129
"Group_PBMCs_Sample_PBMCs 1_5511381",0.0521505376344086
"Group_PBMCs_Sample_PBMCs 1_5545504",0.0602150537634409
"Group_PBMCs_Sample_PBMCs 1_5604498",0.0746376811594203
"Group_PBMCs_Sample_PBMCs 1_5611100",0.0309490416082281
"Group_PBMCs_Sample_PBMCs 1_5616962",0.111804581580178
"Group_PBMCs_Sample_PBMCs 1_5634415",0.0745441795231417
"Group_PBMCs_Sample_PBMCs 1_5640364",0.121037868162693
"Group_PBMCs_Sample_PBMCs 1_5727519",0.14590930341281
"Group_PBMCs_Sample_PBMCs 1_5770237",0.0730247779336138
"Group_PBMCs_Sample_PBMCs 1_5774903",0.0798036465638149
"Group_PBMCs_Sample_PBMCs 1_5793281",0.0905095839177186
"Group_PBMCs_Sample_PBMCs 1_5805861",0.0850397381954184
"Group_PBMCs_Sample_PBMCs 1_5808842",0.0753155680224404
"Group_PBMCs_Sample_PBMCs 1_5817401",0.0607059373539037
"Group_PBMCs_Sample_PBMCs 1_5829749",0.0651005142589995
"Group_PBMCs_Sample_PBMCs 1_5862780",0.0257363253856942
"Group_PBMCs_Sample_PBMCs 1_5868054",0.0819541841982235
"Group_PBMCs_Sample_PBMCs 1_5888562",0.0506077606358111
"Group_PBMCs_Sample_PBMCs 1_5910447",0.132071061243572
"Group_PBMCs_Sample_PBMCs 1_5938712",0.0516362786348761
"Group_PBMCs_Sample_PBMCs 1_5976388",0.142332865825152
"Group_PBMCs_Sample_PBMCs 1_5999147",0.0944600280504909
"Group_PBMCs_Sample_PBMCs 1_6027939",0.0399018232819074
"Group_PBMCs_Sample_PBMCs 1_6108856",0.0838709677419355
"Group_PBMCs_Sample_PBMCs 1_6117430",0.144880785413745
"Group_PBMCs_Sample_PBMCs 1_6166757",0.122907900888266
"Group_PBMCs_Sample_PBMCs 1_6272631",0.0946937821411875
"Group_PBMCs_Sample_PBMCs 1_6317579",0.111477325853202
"Group_PBMCs_Sample_PBMCs 1_6331068",0.0708041140719963
"Group_PBMCs_Sample_PBMCs 1_6339614",0.0447639083683965
"Group_PBMCs_Sample_PBMCs 1_6389888",0.0770687237026648
"Group_PBMCs_Sample_PBMCs 1_6424136",0.0140252454417952
"Group_PBMCs_Sample_PBMCs 1_6452223",0.0998363721365124
"Group_PBMCs_Sample_PBMCs 1_6467710",0.114936886395512
"Group_PBMCs_Sample_PBMCs 1_6473611",0.0831930808789154
"Group_PBMCs_Sample_PBMCs 1_6496143",0.0552828424497429
"Group_PBMCs_Sample_PBMCs 1_6504802",0.0443665264142123
"Group_PBMCs_Sample_PBMCs 1_6541934",0.097194950911641
"Group_PBMCs_Sample_PBMCs 1_6619829",0.0248714352501169
"Group_PBMCs_Sample_PBMCs 1_6627127",0.0504908835904628
"Group_PBMCs_Sample_PBMCs 1_6628836",0.12877512856475
"Group_PBMCs_Sample_PBMCs 1_6637954",0.168723702664797
"Group_PBMCs_Sample_PBMCs 1_6659572",0.111898083216456
"Group_PBMCs_Sample_PBMCs 1_6685205",0.0456989247311828
"Group_PBMCs_Sample_PBMCs 1_6692045",0.0911407199625993
"Group_PBMCs_Sample_PBMCs 1_6699615",0.0692613370733988
"Group_PBMCs_Sample_PBMCs 1_6709876",0.0875876577840112
"Group_PBMCs_Sample_PBMCs 1_6737437",0.0416082281439925
"Group_PBMCs_Sample_PBMCs 1_6826088",0.0533193080878915
"Group_PBMCs_Sample_PBMCs 1_6851127",0.0597475455820477
"Group_PBMCs_Sample_PBMCs 1_6886696",0.0827489481065919
"Group_PBMCs_Sample_PBMCs 1_6899126",0.0324918186068256
"Group_PBMCs_Sample_PBMCs 1_6903466",0.21161757830762
"Group_PBMCs_Sample_PBMCs 1_6913446",0.046166432912576
"Group_PBMCs_Sample_PBMCs 1_6919309",0.0957456755493221
"Group_PBMCs_Sample_PBMCs 1_6955902",0.0972417017297803
"Group_PBMCs_Sample_PBMCs 1_6976729",0.0566152407667134
"Group_PBMCs_Sample_PBMCs 1_7006094",0.0861150070126227
"Group_PBMCs_Sample_PBMCs 1_7026713",0.167625058438523
"Group_PBMCs_Sample_PBMCs 1_7049124",0.0215988779803647
"Group_PBMCs_Sample_PBMCs 1_7058553",0.344436652641421
"Group_PBMCs_Sample_PBMCs 1_7086179",0.31229546517064
"Group_PBMCs_Sample_PBMCs 1_7137701",0.00397381954184198
"Group_PBMCs_Sample_PBMCs 1_7152935",0.188031790556335
"Group_PBMCs_Sample_PBMCs 1_7162468",0.0989247311827957
"Group_PBMCs_Sample_PBMCs 1_7187514",0.474310425432445
"Group_PBMCs_Sample_PBMCs 1_7210530",0.115825151940159
"Group_PBMCs_Sample_PBMCs 1_7222666",0.0809957924263675
"Group_PBMCs_Sample_PBMCs 1_7247251",0.0349929873772791
"Group_PBMCs_Sample_PBMCs 1_7251404",0.109163160355306
"Group_PBMCs_Sample_PBMCs 1_7267210",0.162178588125292
"Group_PBMCs_Sample_PBMCs 1_7303250",0.046914446002805
"Group_PBMCs_Sample_PBMCs 1_7346431",0.0721598877980365
"Group_PBMCs_Sample_PBMCs 1_7361032",0.106311360448808
"Group_PBMCs_Sample_PBMCs 1_7364364",0.0316269284712482
"Group_PBMCs_Sample_PBMCs 1_7379913",0.146820944366526
"Group_PBMCs_Sample_PBMCs 1_7385725",0.090065451145395
"Group_PBMCs_Sample_PBMCs 1_7406214",0.0608695652173913
"Group_PBMCs_Sample_PBMCs 1_7415816",0.0226507713884993
"Group_PBMCs_Sample_PBMCs 1_7421344",0.0762505843852267
"Group_PBMCs_Sample_PBMCs 1_7422690",0.0852267414679757
"Group_PBMCs_Sample_PBMCs 1_7441224",0.102103786816269
"Group_PBMCs_Sample_PBMCs 1_7456540",0.488031790556335
"Group_PBMCs_Sample_PBMCs 1_7467393",0.125596072931276
"Group_PBMCs_Sample_PBMCs 1_7478508",0.0531089294062646
"Group_PBMCs_Sample_PBMCs 1_7539189",0.110635811126695
"Group_PBMCs_Sample_PBMCs 1_7551722",0.145979429640019
"Group_PBMCs_Sample_PBMCs 1_7553830",0.0940860215053763
"Group_PBMCs_Sample_PBMCs 1_7571302",0.394086021505376
"Group_PBMCs_Sample_PBMCs 1_7572528",0.0368630201028518
"Group_PBMCs_Sample_PBMCs 1_7575356",0.141701729780271
"Group_PBMCs_Sample_PBMCs 1_7642667",0.101566152407667
"Group_PBMCs_Sample_PBMCs 1_7645723",0.0738195418419822
"Group_PBMCs_Sample_PBMCs 1_7661840",0.128003740065451
"Group_PBMCs_Sample_PBMCs 1_7671488",0.12533894343151
"Group_PBMCs_Sample_PBMCs 1_7675240",0.230458158017765
"Group_PBMCs_Sample_PBMCs 1_7684960",0.0486909770920991
