,0,1,2,3,4,5,6,7,8,9
Group_PBMCs_Sample_PBMCs.1_4475222,4,23,2,11,9,7,20,2553,1,4
Group_PBMCs_Sample_PBMCs.1_4534121,1,26,6,3,5,104,6,2507,3,8
Group_PBMCs_Sample_PBMCs.1_4543773,3,66,16,35,15,16,15,18,6,1249
Group_PBMCs_Sample_PBMCs.1_4551871,3,81,2,6,3,60,4,7,4,876
Group_PBMCs_Sample_PBMCs.1_4571966,2,62,2,19,797,292,9,34,4,4
Group_PBMCs_Sample_PBMCs.1_4586698,2,66,4,575,3,229,6,12,79,1
Group_PBMCs_Sample_PBMCs.1_4614145,1,9,7,7,4,102,3,1599,3,5
Group_PBMCs_Sample_PBMCs.1_4615611,7,24,3,7,230,100,1,16,1,5
Group_PBMCs_Sample_PBMCs.1_4620896,8,14,0,4,0,156,2,2169,1,3
Group_PBMCs_Sample_PBMCs.1_4621350,0,8,5,15,4,103,1,2051,3,6
Group_PBMCs_Sample_PBMCs.1_4628561,1,148,0,3,3,67,4,13,0,1067
Group_PBMCs_Sample_PBMCs.1_4639221,2,1,1,15,5,47,4,1861,3,4
Group_PBMCs_Sample_PBMCs.1_4678133,0,4,5,8,368,120,8,8,1,6
Group_PBMCs_Sample_PBMCs.1_4681237,2,37,10,20,12,7,24,17,3,1362
Group_PBMCs_Sample_PBMCs.1_4692084,0,22,4,8,1,40,8,1962,1,6
Group_PBMCs_Sample_PBMCs.1_4698589,2,83,1,1,3,2,47,2129,0,0
Group_PBMCs_Sample_PBMCs.1_4699048,2,8,3,6,5,89,4,2488,2,7
Group_PBMCs_Sample_PBMCs.1_4705053,2,9,1,7,1,56,10,2912,0,7
Group_PBMCs_Sample_PBMCs.1_4723590,1,25,4,4,3,3,26,1797,0,2
Group_PBMCs_Sample_PBMCs.1_4820452,5,7,0,3,3,152,1,2563,2,4
Group_PBMCs_Sample_PBMCs.1_4832365,0,11,0,2,3,13,2,1244,0,2
Group_PBMCs_Sample_PBMCs.1_4860599,2,11,1,6,4,197,10,2523,0,5
Group_PBMCs_Sample_PBMCs.1_4897619,2,20,1,4,0,24,4,2631,1,3
Group_PBMCs_Sample_PBMCs.1_4904689,8,45,0,271,3,131,0,13,47,4
Group_PBMCs_Sample_PBMCs.1_4905920,0,80,7,4,5,37,5,611,0,1124
Group_PBMCs_Sample_PBMCs.1_4951924,1,12,0,10,516,209,8,14,1,1
Group_PBMCs_Sample_PBMCs.1_4959249,2,92,1,1,3,128,4,18,56,1039
Group_PBMCs_Sample_PBMCs.1_4976763,20,34,13,13,9,15,10,169,79,17
Group_PBMCs_Sample_PBMCs.1_4989013,1,9,0,8,6,31,2,2290,1,4
Group_PBMCs_Sample_PBMCs.1_5025289,1,22,1,2,1,356,1,9,3,1261
Group_PBMCs_Sample_PBMCs.1_5035753,2,23,3,5,3,9,6,14,0,682
Group_PBMCs_Sample_PBMCs.1_5064340,3,102,2,6,5,28,6,17,2,1697
Group_PBMCs_Sample_PBMCs.1_5069698,0,8,1,4,8,1,71,3169,1,7
Group_PBMCs_Sample_PBMCs.1_5085388,4,7,26,6,7,6,52,81,1,3
Group_PBMCs_Sample_PBMCs.1_5101902,27,80,6,17,21,7,14,1449,5,2
Group_PBMCs_Sample_PBMCs.1_5115758,0,31,5,5,4,18,4,2200,7,3
Group_PBMCs_Sample_PBMCs.1_5128602,0,60,3,2,4,8,10,1418,4,2
Group_PBMCs_Sample_PBMCs.1_5142479,0,31,2,10,2,257,5,12,2,1513
Group_PBMCs_Sample_PBMCs.1_5142513,1,373,5,678,5,214,5,34,111,56
Group_PBMCs_Sample_PBMCs.1_5231785,4,16,8,12,11,23,8,138,63,36
Group_PBMCs_Sample_PBMCs.1_5236027,1,17,1,7,1,1,89,2255,0,2
Group_PBMCs_Sample_PBMCs.1_5242181,5,57,6,7,5,5,25,11,0,1715
Group_PBMCs_Sample_PBMCs.1_5246240,0,5,2,3,357,147,3,7,20,2
Group_PBMCs_Sample_PBMCs.1_5272687,10,28,10,23,106,90,47,1347,4,8
Group_PBMCs_Sample_PBMCs.1_5281623,2,11,9,16,10,41,14,262,0,5
Group_PBMCs_Sample_PBMCs.1_5322014,1,32,6,8,4,2,63,1782,1,7
Group_PBMCs_Sample_PBMCs.1_5330800,3,66,1,4,1,194,12,782,74,7
Group_PBMCs_Sample_PBMCs.1_5331740,2,57,6,175,1,165,4,6,51,180
Group_PBMCs_Sample_PBMCs.1_5370777,1,4,1,3,4,74,0,3012,0,4
Group_PBMCs_Sample_PBMCs.1_5398961,5,696,66,6,5,11,37,74,3,8
Group_PBMCs_Sample_PBMCs.1_5422887,2,16,1,5,3,1,69,2303,2,9
Group_PBMCs_Sample_PBMCs.1_5442860,2,43,4,9,3,5,22,13,2,1600
Group_PBMCs_Sample_PBMCs.1_5493879,1,68,2,196,5,462,5,16,81,1
Group_PBMCs_Sample_PBMCs.1_5496868,6,62,29,68,1064,353,74,2197,12,22
Group_PBMCs_Sample_PBMCs.1_5508394,1,114,3,2,3,94,8,13,1,1184
Group_PBMCs_Sample_PBMCs.1_5511381,2,46,2,4,3,60,3,105,0,664
Group_PBMCs_Sample_PBMCs.1_5545504,1,8,4,8,7,84,5,2801,6,2
Group_PBMCs_Sample_PBMCs.1_5604498,0,8,3,2,510,208,1,11,3,3
Group_PBMCs_Sample_PBMCs.1_5611100,0,24,1,206,3,149,0,7,11,1
Group_PBMCs_Sample_PBMCs.1_5616962,2,172,6,6,5,78,8,11,3,1111
Group_PBMCs_Sample_PBMCs.1_5634415,2,11,0,1,3,1,16,802,0,2
Group_PBMCs_Sample_PBMCs.1_5640364,4,156,2,5,6,6,83,6,2,47
Group_PBMCs_Sample_PBMCs.1_5727519,2,4,1,4,9,41,3,169,33,1
Group_PBMCs_Sample_PBMCs.1_5770237,0,6,4,5,6,204,4,1863,1,3
Group_PBMCs_Sample_PBMCs.1_5774903,1,39,3,7,8,8,56,14,2,1318
Group_PBMCs_Sample_PBMCs.1_5793281,3,2,2,3,663,432,2,22,0,9
Group_PBMCs_Sample_PBMCs.1_5805861,4,231,3,584,2,93,6,14,83,1
Group_PBMCs_Sample_PBMCs.1_5808842,3,97,2,11,1,225,8,22,6,810
Group_PBMCs_Sample_PBMCs.1_5817401,2,24,4,3,3,5,27,1692,4,6
Group_PBMCs_Sample_PBMCs.1_5829749,1,107,1,4,4,7,15,2,1,1039
Group_PBMCs_Sample_PBMCs.1_5862780,1,1,1,2,2,31,1,393,1,2
Group_PBMCs_Sample_PBMCs.1_5868054,0,73,2,6,4,185,3,14,2,528
Group_PBMCs_Sample_PBMCs.1_5888562,1,79,4,7,3,130,7,807,66,6
Group_PBMCs_Sample_PBMCs.1_5910447,2,2,2,3,4,147,2,14,1,11
Group_PBMCs_Sample_PBMCs.1_5938712,1,3,0,8,8,92,2,1492,0,2
Group_PBMCs_Sample_PBMCs.1_5976388,0,15,5,89,3,42,5,26,6,10
Group_PBMCs_Sample_PBMCs.1_5999147,1,156,1,7,1,4,38,21,90,1342
Group_PBMCs_Sample_PBMCs.1_6027939,0,25,1,7,4,5,35,2160,2,5
Group_PBMCs_Sample_PBMCs.1_6108856,1,70,0,5,4,7,33,12,0,586
Group_PBMCs_Sample_PBMCs.1_6117430,2,20,2,4,3,2,60,3186,0,4
Group_PBMCs_Sample_PBMCs.1_6166757,3,40,3,4,4,3,39,2713,0,5
Group_PBMCs_Sample_PBMCs.1_6272631,2,4,0,5,1,3,42,2429,0,0
Group_PBMCs_Sample_PBMCs.1_6317579,3,149,10,931,13,476,11,17,114,5
Group_PBMCs_Sample_PBMCs.1_6331068,1,88,4,10,6,411,8,30,9,1067
Group_PBMCs_Sample_PBMCs.1_6339614,1,4,4,5,5,99,3,2792,0,3
Group_PBMCs_Sample_PBMCs.1_6389888,1,35,0,9,547,217,2,20,1,5
Group_PBMCs_Sample_PBMCs.1_6424136,3,64,2,3,1,667,0,24,4,7
Group_PBMCs_Sample_PBMCs.1_6452223,1,10,8,13,7,139,10,655,1,4
Group_PBMCs_Sample_PBMCs.1_6467710,3,28,1,2,8,1,58,2905,3,4
Group_PBMCs_Sample_PBMCs.1_6473611,4,77,2,7,7,7,19,14,188,1437
Group_PBMCs_Sample_PBMCs.1_6496143,1,30,6,14,8,8,50,1461,0,10
Group_PBMCs_Sample_PBMCs.1_6504802,0,63,1,4,6,1,42,8,1,118
Group_PBMCs_Sample_PBMCs.1_6541934,3,74,1,2,9,2,33,21,0,400
