Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000255197,103.62959748959794,-0.7260424160363221,0.27347826307238843,-2.6548450611014087,0.00793448430890933,0.1428334739660093
PIK3AP1,609.9355026538219,-0.7240005543053764,0.18683058813740736,-3.8751714134352526,0.00010654966877580863,0.007230525098683207
GPR160,141.6919211688338,-0.7226707726936782,0.33315524757166054,-2.1691712136043546,0.03006968774121346,0.3053682799583309
MAPKAPK3,92.3396097942824,-0.7197024294385577,0.24342351084147476,-2.956585528450664,0.003110659465765568,0.07861512473119589
CD48,667.3340269513958,-0.7159919474746105,0.14666735697121935,-4.881740301729921,1.0515368097810618e-06,0.00020656241507225527
SIK2,105.82876824361131,-0.7149896349516353,0.22869934110343274,-3.1263301044154317,0.0017700274490379333,0.05313404114444434
GPAT4,217.84920016868398,-0.7146537538190115,0.18839925320051015,-3.793293984336645,0.0001486619761061232,0.00956648360034633
NFKBIZ,376.5472251662674,-0.7127200800245145,0.2900349725866305,-2.457359102828995,0.01399627014422938,0.20282441341705507
CSF3R,143.3638305073157,-0.7089176593271739,0.2263437038422899,-3.1320405528979425,0.0017359589551173718,0.05253387140661949
EPRS1,137.26570099388803,-0.7087913883217899,0.3115917628892653,-2.2747436637908907,0.022921311519026023,0.2665108256267232
STK26,314.7833581994417,-0.7080278169003457,0.2631102112563954,-2.6909933047425034,0.007123962454973065,0.13338964482998897
ERGIC1,297.5707645684042,-0.7079562134649365,0.19208796796009373,-3.6855833344648343,0.00022817940182780357,0.012523734396913868
CYB5R1,99.29531063485388,-0.7060200569906623,0.30216294223328005,-2.3365540849333892,0.019462382258850032,0.24348636218138975
PPM1F,121.8213618072776,-0.7044472959882232,0.24769888743665655,-2.8439663305648466,0.0044555755917400795,0.09991834425567264
ATF6B,115.4416689201489,-0.6975449322110931,0.23289712901292672,-2.995077419663583,0.0027437519115360303,0.07211687829452801
TFEC,751.6097446130549,-0.6951534666131647,0.15099211644828447,-4.60390570689999,4.146402562311899e-06,0.0005963942602231524
AQP9,1860.1343310062468,-0.6947642931873063,0.18475506465177705,-3.7604614222445556,0.00016960022960803113,0.010320727015875678
ADIPOR1,928.4043044690201,-0.6929638340220051,0.20898821614135737,-3.3158033826811164,0.000913800951591368,0.033939263046920846
ITGB8,1470.3665477488469,-0.6898963120037986,0.1869112988407043,-3.69103588858887,0.00022334261902543444,0.012319050764668915
ARRB2,762.4031767623492,-0.6800735611513726,0.24532397647501467,-2.772144699931666,0.005568827571681845,0.11305947757078884
BORCS7,128.70299206895996,-0.6769338490159766,0.2284239239689814,-2.9634980314404378,0.00304164007370133,0.07793419657948236
GPR137B,226.16604521873856,-0.6766019891578944,0.19271387041795612,-3.5109148484771024,0.0004465674185127845,0.02024378698416052
LCP1,1673.9126026605315,-0.6750127754418243,0.18117752591374794,-3.7256981628238672,0.0001947753653311851,0.011299998785561033
RNF41,163.76118070655693,-0.6738977550619824,0.22826484120001575,-2.952262606537304,0.003154545261203754,0.07894929495267902
DAPK1,340.2069415272509,-0.6736009939566472,0.2510196118308825,-2.683459627092672,0.007286477230040146,0.13575155664685443
FCHSD2,213.69084031882593,-0.6713216710929181,0.21195111330760186,-3.167342037588818,0.0015383926113996214,0.04882277952883402
STARD3NL,173.3156631766145,-0.6710564001498552,0.21695331889010375,-3.093091193916118,0.001980832554318478,0.057909613866067876
KDM1A,108.83795499609268,-0.6643875007157435,0.24543061243036415,-2.7070278403198365,0.006788856392905973,0.12949714656110423
TRMT6,134.68498218858255,-0.6641912411366934,0.2822561525190123,-2.3531506229681014,0.018615091944114075,0.235784145360006
RNF19B,634.9133840587816,-0.663640436406038,0.19677337992770014,-3.3726128841710064,0.0007445855761992576,0.02956427197412442
RAB20,181.57328264958844,-0.6598279859357172,0.2963610375933671,-2.226432972748118,0.02598519395141193,0.2840271110588396
CPNE2,103.32031517812284,-0.658990967792219,0.24623392185096885,-2.6762801925847897,0.007444437959807049,0.13687253175034403
ETS2,608.6141965024766,-0.6581132175302049,0.1769123080658107,-3.719996786687047,0.00019922531264446626,0.011498586730309736
GK5,127.5551826361921,-0.6579235548468729,0.24185292534457686,-2.7203456559787513,0.006521370792191273,0.12765697335693302
AK4,276.173597020106,-0.6547523894045789,0.18750323500148697,-3.491952495643003,0.000479503518508523,0.02107302598232673
GBE1,133.02831640114513,-0.6526073300486462,0.23601498344083538,-2.765109742332282,0.005690364844693197,0.11500905264626304
TNFAIP2,1114.5094380935743,-0.6516023980536564,0.15312125394990644,-4.255466705274161,2.0861340769811338e-05,0.0020311689791267613
CD274,105.20892020967459,-0.6494247762672135,0.25319076323501194,-2.5649623547460014,0.010318699967094008,0.16769010672213586
RHOB,137.13905775442365,-0.645888406471044,0.24570643201230669,-2.628699628175356,0.008571203148880827,0.1499558775906541
CREBL2,121.37183589200083,-0.6445184931549087,0.23333607573095577,-2.7621896491396383,0.005741511750362787,0.11571355199499347
CHMP1B,583.2988225042061,-0.6397613737656772,0.16181365892000812,-3.953692030917739,7.695444809638971e-05,0.005559090034421133
